# KAN-29: a product's display name, decided once by a human and then kept -
# never recomputed from whichever chain's file happens to sort last, and
# never one of the eleven chains' names truncated at 20 characters.
#
# Columns: barcode, name, source, decided_at (tab-separated, UTF-8, no
# header on the data rows below - this comment block is skipped by the
# loader because it starts with '#'). `source` names where the evidence
# came from (a chain id, "pricez", "manual", ...), not a person, so it
# survives a re-review. `decided_at` is the date (YYYY-MM-DD) the row was
# accepted, not when the candidate was first seen.
#
# This file has room to grow: a later column (brand, size, unit, image URL,
# category) is appended after decided_at, never inserted before it, and
# existing rows are left with only four fields until they are backfilled -
# scripts/build_app_db.py's load_product_names() only unpacks the first
# four fields and ignores the rest, so old rows and old readers both keep
# working. Teaching the build to use a new column is a separate change to
# that function, not to this file's shape.
7290011723200	טחינה גולמית הר ברכה תעשיות 500 גרם	pricez	2026-09-17
8714789733296	פלמוליב נטורלס תחליב רחצה זיתים וחלב 750 מ"ל	super_pharm	2026-09-17
7290000066332	אפרופו 50 גרם	chains-35318063298	2026-09-18
7290000072753	טייסטרס צ'ויס כשר לפסח	chains-35318063298	2026-09-18
7290000174099	בפלות בטעם שוקולד 500 ג' בדצ	chains-35318063298	2026-09-18
7290000347752	ויסוצקי ירוק לימונית ולואיזה	chains-35318063298	2026-09-18
7290001136287	נקה 7 שמפו לשיער רגיל	chains-35318063298	2026-09-18
7290013268020	מקסימה סופר מרוכז פרש 1ל	chains-35318063298	2026-09-18
7290106520066	גלילי ורבע לשבע אגוזים	chains-35318063298	2026-09-18
7290109351971	פיטנס בר פריכיות שוקולד חלב 84 גרם	chains-35318063298	2026-09-18
7290110578473	"שקית אצבעות שוקולד 252 גרם בד""צ"	chains-35318063298	2026-09-18
7290110579463	שוקולד פרה חלב שברי אגוזים	chains-35318063298	2026-09-18
7290111564277	פיטנס פריכיות 3 דגנים דקות 12*120גרם	chains-35318063298	2026-09-18
7290111564291	פיטנס פריכיות דקות עם קינואה 12*120גרם	chains-35318063298	2026-09-18
7290112963918	קרקר THIN רוזמרין 140 גר'	chains-35318063298	2026-09-18
7290115205176	קרקר דק כפרי פיטנס 140גר	chains-35318063298	2026-09-18
7290115205312	פיטנס קרקר זיתים 140 גרם	chains-35318063298	2026-09-18
72917589	מקופלת - חטיף שוקולד חלב	chains-35318063298	2026-09-18
856591000918	חטיף מלוח במארז 8*40 גרם טעם טבעי	chains-35318063298	2026-09-18
8700216527941	"פנטן שמפו קלאסי 600 מ""ל"	chains-35318063298	2026-09-18
